1,7天,高,,,,,,,
2,IU,中,,,,,,,
3,派,中,,,,,,,
4,金广快捷,低,,,,,,,
5,百时快捷,低,,,,,,,
6,维也纳3好,低,,,,,,,
7,锦江之星,高,,,,,,,
8,锦江之星风尚,中,,,,,,,
9,锦江之星品尚,中,,,,,,,
10,锦江都城,高,,,,,,,
11,白玉兰,低,,,,,,,
12,康铂,低,,,,,,,
13,凯里亚德,低,,,,,,,
14,麗枫,高,,,,,,,
15,喆啡,高,,,,,,,
16,希岸,中,,,,,,,
17,潮漫,低,,,,,,,
18,ZMAX,低,,,,,,,
19,非繁城品,中,,,,,,,
20,维也纳,高,,,,,,,
21,维也纳国际,低,,,,,,,
22,维也纳智好,低,,,,,,,
23,维纳斯皇家,低,,,,,,,
24,维纳斯国际,低,,,,,,,
25,维纳斯度假村,低,,,,,,,
26,好眠国际,低,,,,,,,
27,欧暇地中海,低,,,,,,,
28,丽怡,低,,,,,,,
29,丽柏,低,,,,,,,
30,金熙,低,,,,,,,
31,昆仑,低,,,,,,,
32,锦江,高,,,,,,,
33,暻阁,低,,,,,,,
34,郁锦香,低,,,,,,,
35,皇家金煦,低,,,,,,,
36,丽笙,中,,,,,,,
37,丽筠,低,,,,,,,
38,丽芮,低,,,,,,,
39,汉庭,高,,,,,,,
40,汉庭优佳,中,,,,,,,
41,你好,低,,,,,,,
42,海友,中,,,,,,,
43,怡莱,高,,,,,,,
44,宜必思,中,,,,,,,
45,全季,高,,,,,,,
46,桔子,高,,,,,,,
47,桔子水晶,高,,,,,,,
48,星程,高,,,,,,,
49,欢阁,低,,,,,,,
50,漫心,低,,,,,,,
51,美居,高,,,,,,,
52,美仑,低,,,,,,,
53,禧玥,中,,,,,,,
54,花间堂,低,,,,,,,
55,诺富特,低,,,,,,,
56,美爵,低,,,,,,,
57,索菲特,低,,,,,,,
58,铂尔曼,低,,,,,,,
59,建国饭店,低,,,,,,,
60,建国铂萃,低,,,,,,,
61,京伦饭店,低,,,,,,,
62,逸扉,低,,,,,,,
63,和颐,高,,,,,,,
64,璞隐,低,,,,,,,
65,扉缦,低,,,,,,,
66,万信,低,,,,,,,
67,如家精选,高,,,,,,,
68,如家商旅,高,,,,,,,
69,艾扉,低,,,,,,,
70,柏丽艾尚,低,,,,,,,
71,YUNIK,低,,,,,,,
72,嘉虹,低,,,,,,,
73,如家,高,,,,,,,
74,莫泰,中,,,,,,,
75,云,中,,,,,,,
76,驿居,低,,,,,,,
77,云上四季,低,,,,,,,
78,雅克e家,低,,,,,,,
79,欣燕都,低,,,,,,,
80,华驿,低,,,,,,,
81,格林东方,中,,,,,,,
82,格美,低,,,,,,,
83,格雅,低,,,,,,,
84,格菲,低,,,,,,,
85,无眠,低,,,,,,,
86,格林豪泰,高,,,,,,,
87,格盟,中,,,,,,,
88,青皮树,中,,,,,,,
89,贝壳,中,,,,,,,
90,雅阁,低,,,,,,,
91,雅阁璞邸,低,,,,,,,
92,雅阁度假,低,,,,,,,
93,澳斯特,低,,,,,,,
94,城市便捷,高,,,,,,,
95,精途,中,,,,,,,
96,怡程,低,,,,,,,
97,宜尚,高,,,,,,,
98,柏曼,中,,,,,,,
99,瑾程,低,,,,,,,
100,宜尚PLUS,中,,,,,,,
101,锋态度,低,,,,,,,
102,殿影,低,,,,,,,
103,隐沫,低,,,,,,,
104,AA,低,,,,,,,
105,橙客,低,,,,,,,
106,骏怡,高,,,,,,,
107,尚客优,高,,,,,,,
108,花美时,低,,,,,,,
109,寻里,低,,,,,,,
110,兰欧,低,,,,,,,
111,假日美地,低,,,,,,,
112,M Hotel,低,,,,,,,
113,含舍,低,,,,,,,
114,单色,低,,,,,,,
115,都市星联,低,,,,,,,
116,都市118,高,,,,,,,
117,都市花园,中,,,,,,,
118,亚朵,高,,,,,,,
119,亚朵S,低,,,,,,,
120,亚朵X,低,,,,,,,
121,轻居,中,,,,,,,
122,开元名都,高,,,,,,,
123,开元森泊,低,,,,,,,
124,开元观堂,低,,,,,,,
125,开元度假村,低,,,,,,,
126,开元芳草地,低,,,,,,,
127,方外,低,,,,,,,
128,开元名庭,低,,,,,,,
129,开元,高,,,,,,,
130,开元颐居,低,,,,,,,
131,开元美途,低,,,,,,,
132,阿缇客,低,,,,,,,
133,开元曼居,中,,,,,,,
134,布丁,高,,,,,,,
135,智尚,中,,,,,,,
136,美豪,中,,,,,,,
137,雅致,低,,,,,,,
138,丽致,高,,,,,,,
139,怡致,低,,,,,,,
140,美丽豪,中,,,,,,,
141,美嘉豪,低,,,,,,,
142,丽思卡尔顿,高,,,,,,,
143,瑞吉,低,,,,,,,
144,JW万豪,高,,,,,,,
145,W,高,,,,,,,
146,艾迪逊,中,,,,,,,
147,万豪,高,,,,,,,
148,喜来登,高,,,,,,,
149,德尔塔,中,,,,,,,
150,艾美,低,,,,,,,
151,威斯汀,低,,,,,,,
152,万丽,中,,,,,,,
153,万怡,中,,,,,,,
154,福朋喜来登,中,,,,,,,
155,万枫,中,,,,,,,
156,雅乐轩,低,,,,,,,
157,华尔道夫,高,,,,,,,
158,康莱德,低,,,,,,,
159,希尔顿嘉悦里,中,,,,,,,
160,希尔顿,高,,,,,,,
161,希尔顿格芮,中,,,,,,,
162,希尔顿欢朋,高,,,,,,,
163,希尔顿逸林,高,,,,,,,
164,希尔顿花园,中,,,,,,,
165,洲际,高,,,,,,,
166,假日,高,,,,,,,
167,皇冠假日,高,,,,,,,
168,智选假日,高,,,,,,,
169,英迪格,低,,,,,,,
170,丽晶,高,,,,,,,
